WCLK Time=5000 | WR=0 FULL=0 DATA_IN=00
RCLK Time=7000 | RD=0 EMPTY=1 DATA_OUT=xx
WCLK Time=15000 | WR=0 FULL=0 DATA_IN=00
===== TEST 1: WRITE =====
RCLK Time=21000 | RD=0 EMPTY=1 DATA_OUT=xx
WCLK Time=25000 | WR=1 FULL=0 DATA_IN=00
RCLK Time=35000 | RD=0 EMPTY=1 DATA_OUT=xx
WCLK Time=35000 | WR=0 FULL=0 DATA_IN=00
WCLK Time=45000 | WR=1 FULL=0 DATA_IN=01
RCLK Time=49000 | RD=0 EMPTY=1 DATA_OUT=xx
WCLK Time=55000 | WR=0 FULL=0 DATA_IN=01
RCLK Time=63000 | RD=0 EMPTY=1 DATA_OUT=xx
WCLK Time=65000 | WR=1 FULL=0 DATA_IN=02
WCLK Time=75000 | WR=0 FULL=0 DATA_IN=02
RCLK Time=77000 | RD=0 EMPTY=0 DATA_OUT=xx
WCLK Time=85000 | WR=1 FULL=0 DATA_IN=03
RCLK Time=91000 | RD=0 EMPTY=0 DATA_OUT=xx
WCLK Time=95000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=105000 | RD=0 EMPTY=0 DATA_OUT=xx
WCLK Time=105000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=115000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=119000 | RD=0 EMPTY=0 DATA_OUT=xx
WCLK Time=125000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=133000 | RD=0 EMPTY=0 DATA_OUT=xx
WCLK Time=135000 | WR=0 FULL=1 DATA_IN=03
===== TEST 2: READ =====
WCLK Time=145000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=147000 | RD=1 EMPTY=0 DATA_OUT=xx
WCLK Time=155000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=161000 | RD=0 EMPTY=0 DATA_OUT=00
WCLK Time=165000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=175000 | RD=1 EMPTY=0 DATA_OUT=00
WCLK Time=175000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=185000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=189000 | RD=0 EMPTY=0 DATA_OUT=01
WCLK Time=195000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=203000 | RD=1 EMPTY=0 DATA_OUT=01
WCLK Time=205000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=215000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=217000 | RD=0 EMPTY=0 DATA_OUT=02
WCLK Time=225000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=231000 | RD=1 EMPTY=0 DATA_OUT=02
WCLK Time=235000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=245000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=245000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=255000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=259000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=265000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=273000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=275000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=285000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=287000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=295000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=301000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=305000 | WR=0 FULL=0 DATA_IN=03
===== TEST 3: OVERFLOW =====
RCLK Time=315000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=315000 | WR=1 FULL=0 DATA_IN=00
WCLK Time=325000 | WR=0 FULL=0 DATA_IN=00
RCLK Time=329000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=335000 | WR=1 FULL=0 DATA_IN=01
RCLK Time=343000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=345000 | WR=0 FULL=0 DATA_IN=01
WCLK Time=355000 | WR=1 FULL=0 DATA_IN=02
RCLK Time=357000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=365000 | WR=0 FULL=0 DATA_IN=02
RCLK Time=371000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=375000 | WR=1 FULL=0 DATA_IN=03
RCLK Time=385000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=385000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=395000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=399000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=405000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=413000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=415000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=425000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=427000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=435000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=441000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=445000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=455000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=455000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=465000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=469000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=475000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=483000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=485000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=495000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=497000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=505000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=511000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=515000 | WR=0 FULL=1 DATA_IN=03
RCLK Time=525000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=525000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=535000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=539000 | RD=0 EMPTY=1 DATA_OUT=03
===== TEST 4: UNDERFLOW =====
WCLK Time=545000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=553000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=555000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=565000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=567000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=575000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=581000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=585000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=595000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=595000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=605000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=609000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=615000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=623000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=625000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=635000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=637000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=645000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=651000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=655000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=665000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=665000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=675000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=679000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=685000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=693000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=695000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=705000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=707000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=715000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=721000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=725000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=735000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=735000 | WR=0 FULL=0 DATA_IN=03
WCLK Time=745000 | WR=0 FULL=0 DATA_IN=03
===== TEST 5: SIMULTANEOUS RW =====
RCLK Time=749000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=755000 | WR=1 FULL=0 DATA_IN=00
RCLK Time=763000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=765000 | WR=0 FULL=0 DATA_IN=00
WCLK Time=775000 | WR=1 FULL=0 DATA_IN=01
RCLK Time=777000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=785000 | WR=0 FULL=0 DATA_IN=01
RCLK Time=791000 | RD=0 EMPTY=1 DATA_OUT=03
WCLK Time=795000 | WR=1 FULL=0 DATA_IN=01
RCLK Time=805000 | RD=1 EMPTY=0 DATA_OUT=03
WCLK Time=805000 | WR=0 FULL=0 DATA_IN=01
WCLK Time=815000 | WR=1 FULL=0 DATA_IN=03
RCLK Time=819000 | RD=0 EMPTY=0 DATA_OUT=00
WCLK Time=825000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=833000 | RD=1 EMPTY=0 DATA_OUT=00
WCLK Time=835000 | WR=0 FULL=1 DATA_IN=03
WCLK Time=845000 | WR=0 FULL=0 DATA_IN=03
RCLK Time=847000 | RD=0 EMPTY=0 DATA_OUT=01
WCLK Time=855000 | WR=1 FULL=0 DATA_IN=06
RCLK Time=861000 | RD=1 EMPTY=0 DATA_OUT=01
WCLK Time=865000 | WR=0 FULL=0 DATA_IN=06
RCLK Time=875000 | RD=0 EMPTY=0 DATA_OUT=01
WCLK Time=875000 | WR=1 FULL=0 DATA_IN=08
WCLK Time=885000 | WR=0 FULL=0 DATA_IN=08
RCLK Time=889000 | RD=1 EMPTY=0 DATA_OUT=01
WCLK Time=895000 | WR=0 FULL=1 DATA_IN=08
RCLK Time=903000 | RD=0 EMPTY=0 DATA_OUT=03
WCLK Time=905000 | WR=0 FULL=0 DATA_IN=08
WCLK Time=915000 | WR=1 FULL=0 DATA_IN=0c
RCLK Time=917000 | RD=1 EMPTY=0 DATA_OUT=03
WCLK Time=925000 | WR=0 FULL=0 DATA_IN=0c
RCLK Time=931000 | RD=0 EMPTY=0 DATA_OUT=06
WCLK Time=935000 | WR=1 FULL=0 DATA_IN=0d
RCLK Time=945000 | RD=1 EMPTY=0 DATA_OUT=06
WCLK Time=945000 | WR=0 FULL=0 DATA_IN=0d
WCLK Time=955000 | WR=1 FULL=0 DATA_IN=0f
RCLK Time=959000 | RD=0 EMPTY=0 DATA_OUT=08
WCLK Time=965000 | WR=0 FULL=0 DATA_IN=0f
RCLK Time=973000 | RD=1 EMPTY=0 DATA_OUT=08
WCLK Time=975000 | WR=0 FULL=1 DATA_IN=0f
WCLK Time=985000 | WR=0 FULL=0 DATA_IN=0f
